player_name,season,impact_overall,impact_offense,impact_defense,minutes_played,games_played,age,metric_source
Kobe Brown,2024-25,-2.1,-2.5,0.4,272,40,25,bpm_basketball_reference
Kobe Bufkin,2024-25,-4,-3.4,-0.5,124,10,21,bpm_basketball_reference
Kris Dunn,2024-25,0.6,-2.8,3.4,1783,74,30,bpm_basketball_reference
Kris Murray,2024-25,-3,-3.1,0.1,1040,69,24,bpm_basketball_reference
Kristaps Porziņģis,2024-25,4.7,3.5,1.2,1210,42,29,bpm_basketball_reference
Kyle Anderson,2024-25,1.5,-0.6,2.2,1002,61,31,bpm_basketball_reference
Kyle Filipowski,2024-25,-1,-0.6,-0.3,1522,72,21,bpm_basketball_reference
Kyle Kuzma,2024-25,-4.9,-2.9,-2,1936,65,29,bpm_basketball_reference
Kyle Lowry,2024-25,-1.3,-2.8,1.5,659,35,38,bpm_basketball_reference
Kylor Kelley,2024-25,-5.4,-3.5,-1.9,126,11,27,bpm_basketball_reference
Kyrie Irving,2024-25,3.4,3.9,-0.5,1804,50,32,bpm_basketball_reference
Kyshawn George,2024-25,-4.1,-3.8,-0.3,1802,68,21,bpm_basketball_reference
LaMelo Ball,2024-25,3.2,4.1,-0.9,1505,47,23,bpm_basketball_reference
Lamar Stevens,2024-25,-4.2,-3.6,-0.6,155,17,27,bpm_basketball_reference
Landry Shamet,2024-25,-2.4,-1.9,-0.6,762,50,27,bpm_basketball_reference
Larry Nance Jr.,2024-25,1.8,1.1,0.7,463,24,32,bpm_basketball_reference
Lauri Markkanen,2024-25,-0.3,1.8,-2.1,1476,47,27,bpm_basketball_reference
LeBron James,2024-25,5.6,4.9,0.7,2444,70,40,bpm_basketball_reference
Leonard Miller,2024-25,-3.7,-3.4,-0.3,32,13,21,bpm_basketball_reference
Lester Quiñones,2024-25,-6.1,-3.2,-2.9,183,13,24,bpm_basketball_reference
Liam Robbins,2024-25,-10.5,-9.2,-1.3,57,13,25,bpm_basketball_reference
